horario,pressao,geracao,vazao
"08/02/2023 17:29:01",152,7,24358
"08/02/2023 17:29:01",158,8,24358
"08/02/2023 17:29:01",185,18,24358
"08/02/2023 17:29:01",154,7,24358
"08/02/2023 17:29:01",167,21,24358
"08/02/2023 17:29:01",184,24,24358
"08/02/2023 17:29:01",170,2,24358
"08/02/2023 17:29:01",186,21,24358
"08/02/2023 17:29:02",158,18,24358
"08/02/2023 17:29:02",173,21,24358
"08/02/2023 17:29:02",170,6,24358
"08/02/2023 17:29:02",174,9,24358
"08/02/2023 17:29:02",188,8,24358
"08/02/2023 17:29:02",171,3,24358
"08/02/2023 17:29:02",170,16,24358
"08/02/2023 17:29:02",159,16,24358
"08/02/2023 17:29:02",189,8,24358
"08/02/2023 17:29:02",167,6,24358
"08/02/2023 17:29:03",156,20,24358
"08/02/2023 17:29:03",169,20,24358
"08/02/2023 17:29:03",152,8,24358
"08/02/2023 17:29:03",185,23,24358
"08/02/2023 17:29:03",183,6,24358
"08/02/2023 17:29:03",188,2,24358
"08/02/2023 17:29:03",170,4,24358
"08/02/2023 17:29:03",184,1,24358
"08/02/2023 17:29:03",156,6,24358
"08/02/2023 17:29:03",175,7,24358
"08/02/2023 17:29:04",176,27,24358
"08/02/2023 17:29:04",189,16,24358
"08/02/2023 17:29:04",158,8,24358
"08/02/2023 17:29:04",168,17,24358
"08/02/2023 17:29:04",168,0,24358
"08/02/2023 17:29:04",154,8,24358
"08/02/2023 17:29:04",155,6,24358
"08/02/2023 17:29:04",154,19,24358
"08/02/2023 17:29:04",172,17,24358
"08/02/2023 17:29:04",172,22,24358
"08/02/2023 17:29:05",158,18,24358
"08/02/2023 17:29:05",169,23,24358
"08/02/2023 17:29:05",157,16,24358
"08/02/2023 17:29:05",153,23,24358
"08/02/2023 17:29:05",170,4,24358
"08/02/2023 17:29:05",173,21,24358
"08/02/2023 17:29:05",155,20,24358
"08/02/2023 17:29:05",155,7,24360
"08/02/2023 17:29:05",174,16,24361
"08/02/2023 17:29:05",168,6,24363
"08/02/2023 17:29:06",170,12,24365
"08/02/2023 17:29:06",144,2,24367
"08/02/2023 17:29:06",184,6,24369
"08/02/2023 17:29:06",186,17,24371
"08/02/2023 17:29:06",170,4,24373
"08/02/2023 17:29:06",168,7,24376
"08/02/2023 17:29:06",168,8,24378
"08/02/2023 17:29:06",154,18,24381
"08/02/2023 17:29:06",169,5,24384
"08/02/2023 17:29:06",154,5,24386
"08/02/2023 17:29:07",169,6,24389
"08/02/2023 17:29:07",142,22,24392
"08/02/2023 17:29:07",175,23,24395
